Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Michael Floyd,FA,2012,Combine,75,220,32.88,9.38,4.47,,,36.5,122.0,16.0
Dontez Ford,FA,2017,Pro Day,74,210,,,4.58,,6.98,36.0,120.0,15.0
Isaiah Ford,FA,2017,Combine,74,195,32.63,9.25,4.61,4.34,6.94,35.5,127.0,14.0
Jacoby Ford,FA,2010,Combine,69,190,30.50,9.25,4.28,4.44,7.00,33.5,115.0,15.0
Robert Foster,FA,2018,Combine,74,196,32.13,9.25,4.41,4.20,6.90,31.0,116.0,
Bennie Fowler,FA,2014,Combine,73,218,32.00,9.50,4.52,4.18,7.06,36.0,126.0,
Austin Franklin,FA,2014,Combine,72,184,31.25,10.00,4.56,4.33,7.07,36.0,124.0,7.0
Ty Fryfogle,FA,2022,Combine,73,205,30.75,9.75,4.53,,,39.0,127.0,
Travis Fulgham,FA,2019,Combine,74,215,33.75,9.50,4.58,,,36.5,126.0,15.0
Corey Fuller,FA,2013,Combine,74,200,33.25,9.50,4.43,,,31.5,120.0,12.0
Will Fuller,FA,2016,Combine,72,184,30.75,8.25,4.32,4.27,6.93,33.5,126.0,10.0
Devin Fuller,FA,2016,Pro Day,72,194,,,4.39,4.07,7.03,36.0,124.0,
Aaron Fuller,FA,2020,Combine,71,188,29.75,8.88,4.59,,7.14,34.0,118.0,
Jeremy Gallon,FA,2014,Combine,68,185,29.50,9.38,4.49,,,,,15.0
Michael Gallup,DAL,2018,Combine,73,198,31.50,9.25,4.51,4.37,6.95,36.0,122.0,10.0
Pierre Garcon,FA,2008,Combine,72,211,31.13,,4.42,4.19,6.90,36.5,125.0,20.0
Keyarris Garrett,FA,2016,Combine,75,215,34.50,9.00,4.53,4.33,7.30,36.5,128.0,14.0
Clyde Gates,FA,2011,Combine,72,197,,,4.49,,,40.0,131.0,16.0
David Gettis,FA,2010,Combine,75,217,34.00,10.00,4.43,4.41,6.94,34.5,124.0,15.0
Brandon Gibson,FA,2009,Pro Day,72,210,,,4.59,4.54,6.94,34.0,113.0,10.0
Shelton Gibson,FA,2017,Pro Day,71,191,32.00,8.73,4.39,,,,101.0,
David Gilreath,FA,2011,Pro Day,69,170,,,4.42,4.21,6.58,33.5,116.0,6.0
Ted Ginn,FA,2007,Combine,71,180,,,4.38,,,,,
Chris Givens,FA,2012,Combine,74,211,31.25,8.25,4.41,4.23,6.97,33.5,118.0,19.0
Tyrone Goard,FA,2013,Combine,79,205,34.00,8.75,4.50,4.39,6.90,36.0,123.0,10.0
Terry Godwin,FA,2019,Combine,71,185,30.00,9.38,4.55,,6.96,36.5,117.0,
Chris Godwin,TB,2017,Combine,73,208,31.63,9.13,4.42,4.00,7.01,36.0,126.0,19.0
Kenny Golladay,NYG,2017,Combine,76,213,32.00,9.75,4.50,4.15,7.00,35.5,120.0,18.0
Antwan Goodley,FA,2015,Pro Day,70,212,,,,4.38,7.19,35.0,127.0,
Marquise Goodwin,SEA,2013,Combine,69,179,31.50,8.63,4.27,,,,132.0,13.0
